orden,sesion,bloque,paso,patron,color,tipo,valor_certificado,codigo_equipo,uso,K,M,asentamiento,remedida_de_codigo,x_esperada,origen_x,nota
1,1,INICIO,CALENTAMIENTO,,,,,,,,,,,,,10 min encendido antes de la primera serie (RF-CAL-01)
2,1,INICIO,BATERIA,,,,,9,CONTROL,,,,,,,orden 9: tension y nivel; aviso si baja (RF-CAL-41)
3,1,INICIO,OSCURO,OSCURO,,,0,1,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz alta (#X,1#; AMA, BLA, ROJ, NAR). superficie negra mate; ancla = media de OSCURO inicio y fin de la sesion (P10-C3)"
4,1,INICIO,OSCURO,OSCURO,,,0,3,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz baja (#X,3#; AZU, VER). superficie negra mate; ancla = media de OSCURO inicio y fin de la sesion (P10-C3)"
5,1,A5-INICIO,A5,P22,amarillo,IV,334,2,CONTROL,5,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
6,1,A5-INICIO,A5,P28,blanco,IX,484,1,CONTROL,5,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
7,1,A5-INICIO,A5,P4,blanco,XI,828,1,CONTROL,5,4,1,,,,"V4.6: x con #X de su color, otros papeles. puente y s_rep (P9-A5); no entra en el ajuste"
8,1,COLOR:blanco,PATRON,P56,blanco,IV,347,1,AJUSTE,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: extremo bajo del tipo IV (G01)"
9,1,COLOR:blanco,PATRON,P51,blanco,IV,439,1,AJUSTE,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: extremo alto del tipo IV (G04)"
10,1,COLOR:blanco,PATRON,P28,blanco,IX,484,1,RE-MEDIDA,5,4,1,1,,,"V4.6: x con #X,1#. banco representativo: extremo bajo del tipo IX (G05)"
11,1,COLOR:blanco,PATRON,P118,blanco,IX,508,1,VERIFICACION,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: verificacion independiente (G06, centro del rango)"
12,1,COLOR:blanco,PATRON,P73,blanco,IX,614,1,AJUSTE,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: extremo alto del tipo IX (G07)"
13,1,COLOR:blanco,PATRON,P7,blanco,XI,768,1,AJUSTE,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: extremo bajo del tipo XI (G08)"
14,1,COLOR:blanco,PATRON,P4,blanco,XI,828,1,AJUSTE,3,4,1,,,,"V4.6: x con #X,1#. banco representativo: extremo alto del tipo XI (G09)"
15,1,COLOR:blanco-I,PATRON,P35,blanco,I,96,7,VERIFICACION,3,4,1,,,,"V4.6: x con #X,7#. banco representativo: solo verificar (7)"
16,1,COLOR:amarillo,PATRON,P61,amarillo,IV,207,2,AJUSTE,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: extremo bajo del tipo IV (G10)"
17,1,COLOR:amarillo,PATRON,P21,amarillo,IV,375,2,VERIFICACION,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: verificacion independiente (G13, centro del rango)"
18,1,COLOR:amarillo,PATRON,P30,amarillo,IV,448,2,AJUSTE,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: extremo alto del tipo IV (G14)"
19,1,COLOR:amarillo,PATRON,P121,amarillo,IX,320,2,AJUSTE,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: extremo bajo del tipo IX (G16)"
20,1,COLOR:amarillo,PATRON,P25,amarillo,IX,576,2,RE-MEDIDA,5,4,1,2,,,"V4.6: x con #X,2#. banco representativo: extremo alto del tipo IX (G20)"
21,1,COLOR:amarillo,PATRON,P106,amarillo,XI,493,2,AJUSTE,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: extremo bajo del tipo XI (G21)"
22,1,COLOR:amarillo,PATRON,P20,amarillo,XI,782,2,AJUSTE,3,4,1,,,,"V4.6: x con #X,2#. banco representativo: extremo alto del tipo XI (G25)"
23,1,COLOR:amarillo-I,PATRON,P44,amarillo,I,64,8,AJUSTE,5,4,1,,,,"V4.6: x con #X,8#. banco representativo: codigo de 3-4 puntos: no se reduce"
24,1,COLOR:amarillo-I,PATRON,P37,amarillo,I,82,8,AJUSTE,5,4,1,,,,"V4.6: x con #X,8#. banco representativo: codigo de 3-4 puntos: no se reduce"
25,1,COLOR:amarillo-I,PATRON,P34,amarillo,I,86,8,AJUSTE,5,4,1,,,,"V4.6: x con #X,8#. banco representativo: codigo de 3-4 puntos: no se reduce"
26,1,COLOR:amarillo-I,PATRON,P43,amarillo,I,122,8,RE-MEDIDA,5,4,1,8,,,"V4.6: x con #X,8#. banco representativo: codigo de 3-4 puntos: no se reduce"
27,1,A5-FIN,A5,P22,amarillo,IV,334,2,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
28,1,A5-FIN,A5,P28,blanco,IX,484,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
29,1,A5-FIN,A5,P4,blanco,XI,828,1,CONTROL,3,4,1,,,,"V4.6: x con #X de su color, otros papeles. deriva de la sesion frente a A5-INICIO (RF-CAL-36)"
30,1,FIN,OSCURO,OSCURO,,,0,1,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz alta (#X,1#; AMA, BLA, ROJ, NAR). deriva del oscuro y segunda mitad del ancla"
31,1,FIN,OSCURO,OSCURO,,,0,3,CONTROL,5,4,1,,,,"V4.6: oscuro con la luz baja (#X,3#; AZU, VER). deriva del oscuro y segunda mitad del ancla"
32,1,FIN,EXPORTAR,,,,,,CONTROL,,,,,,,ZIP de la sesion; copia en Download/RTV/
33,1,FIN,PAUSA,,,,,,CONTROL,,,,,,,si se apaga el equipo o se cambia la bateria: 10 min de calentamiento al volver
34,2,INICIO,BATERIA,,,,,9,CONTROL,,,,,,,orden 9: tension y nivel; aviso si baja (RF-CAL-41)
