grupo,codigo_equipo,color,tipo,patron,valor_certificado,x_esperada,origen_x,resolucion_R,representante,uso_representativo,motivo
G01,1,blanco,IV,P56,347,1717,estimada: recta por el oscuro,18.6,si,AJUSTE,extremo bajo del tipo IV (G01)
G02,1,blanco,IV,P3,378,1674,medida,20.5,,,
G03,1,blanco,IV,P2,414,2058.6,medida,20.5,,,
G03,1,blanco,IV,P52,421,1962,estimada: recta por el oscuro,21.2,,,
G03,1,blanco,IV,P58,432,1999,estimada: recta por el oscuro,21.6,,,
G04,1,blanco,IV,P51,439,2022,estimada: recta por el oscuro,21.9,si,AJUSTE,extremo alto del tipo IV (G04)
G05,1,blanco,IX,P27,471,2111.1,medida,23.1,,,
G05,1,blanco,IX,P28,484,2277.9,medida,23.1,si,RE-MEDIDA,extremo bajo del tipo IX (G05)
G06,1,blanco,IX,P118,508,2251,estimada: recta por el oscuro,24.4,si,VERIFICACION,"verificacion independiente (G06, centro del rango)"
G07,1,blanco,IX,P73,614,2603,estimada: recta por el oscuro,28.2,si,AJUSTE,extremo alto del tipo IX (G07)
G08,1,blanco,XI,P1,762,2960.9,medida,33.8,,,
G08,1,blanco,XI,P103,763,3097,estimada: recta por el oscuro,33.5,,,
G08,1,blanco,XI,P7,768,3122.4,medida,33.7,si,AJUSTE,extremo bajo del tipo XI (G08)
G08,1,blanco,XI,P6,772,3168.4,medida,33.8,,,
G08,1,blanco,XI,P88,773,3130,estimada: recta por el oscuro,33.9,,,
G09,1,blanco,XI,P4,828,3315.8,medida,35.9,si,AJUSTE,extremo alto del tipo XI (G09)
G10,2,amarillo,IV,P61,207,1132,estimada: recta por el oscuro,14.9,si,AJUSTE,extremo bajo del tipo IV (G10)
G11,2,amarillo,IV,P62,280,1331,estimada: recta por el oscuro,17.5,,,
G12,2,amarillo,IV,P22,334,1497,medida,19.3,,,
G13,2,amarillo,IV,P21,375,1562.4,medida,21.1,si,VERIFICACION,"verificacion independiente (G13, centro del rango)"
G14,2,amarillo,IV,P29,442,1677,medida,24.0,,,
G14,2,amarillo,IV,P30,448,1654.2,medida,24.5,si,AJUSTE,extremo alto del tipo IV (G14)
G15,2,amarillo,IV,P24,593,1982.7,medida,29.8,,,
G16,2,amarillo,IX,P121,320,1441,estimada: recta por el oscuro,18.9,si,AJUSTE,extremo bajo del tipo IX (G16)
G17,2,amarillo,IX,P122,352,1528,estimada: recta por el oscuro,20.1,,,
G18,2,amarillo,IX,P77,391,1635,estimada: recta por el oscuro,21.5,,,
G19,2,amarillo,IX,P76,433,1750,estimada: recta por el oscuro,23.0,,,
G20,2,amarillo,IX,P31,573,2085.8,medida,28.2,,,
G20,2,amarillo,IX,P25,576,2157.4,medida,28.0,si,RE-MEDIDA,extremo alto del tipo IX (G20)
G20,2,amarillo,IX,P26,583,2208.8,medida,28.2,,,
G21,2,amarillo,XI,P107,478,1873,estimada: recta por el oscuro,24.6,,,
G21,2,amarillo,XI,P106,493,1914,estimada: recta por el oscuro,25.1,si,AJUSTE,extremo bajo del tipo XI (G21)
G22,2,amarillo,XI,P91,516,1977,estimada: recta por el oscuro,26.0,,,
G22,2,amarillo,XI,P92,522,1994,estimada: recta por el oscuro,26.2,,,
G23,2,amarillo,XI,P10,680,2504.3,medida,31.6,,,
G23,2,amarillo,XI,P9,705,2483.9,medida,32.8,,,
G24,2,amarillo,XI,P23,714,2735.4,medida,32.3,,,
G24,2,amarillo,XI,P8,721,2532.9,medida,33.3,,,
G24,2,amarillo,XI,P5,740,2459.3,medida,34.5,,,
G25,2,amarillo,XI,P20,782,2787.7,medida,35.2,si,AJUSTE,extremo alto del tipo XI (G25)
G26,3,verde,IV,P65,51,649,estimada: recta por el oscuro,14.2,,,
G26,3,verde,IV,P64,54,654,estimada: recta por el oscuro,14.3,si,AJUSTE,extremo bajo del tipo IV (G26)
G27,3,verde,IV,P63,121,764,estimada: recta por el oscuro,16.7,si,AJUSTE,extremo alto del tipo IV (G27)
G28,3,verde,IX,P124,51,649,estimada: recta por el oscuro,14.2,si,AJUSTE,extremo bajo del tipo IX (G28)
G28,3,verde,IX,P125,51,649,estimada: recta por el oscuro,14.2,,,
G28,3,verde,IX,P79,51,649,estimada: recta por el oscuro,14.2,,,
G28,3,verde,IX,P80,51,649,estimada: recta por el oscuro,14.2,,,
G29,3,verde,IX,P78,97,725,estimada: recta por el oscuro,15.8,si,VERIFICACION,"verificacion independiente (G29, centro del rango)"
G30,3,verde,IX,P123,115,754,estimada: recta por el oscuro,16.5,si,RE-MEDIDA,extremo alto del tipo IX (G30)
G31,3,verde,XI,P109,51,649,estimada: recta por el oscuro,14.2,si,AJUSTE,extremo bajo del tipo XI (G31)
G31,3,verde,XI,P110,51,649,estimada: recta por el oscuro,14.2,,,
G31,3,verde,XI,P94,51,649,estimada: recta por el oscuro,14.2,,,
G31,3,verde,XI,P95,51,649,estimada: recta por el oscuro,14.2,,,
