patron,valor_certificado,tipo,color
P1,762,XI,blanco
P2,414,IV,blanco
P3,378,IV,blanco
P4,828,XI,blanco
P5,740,XI,amarillo
P6,772,XI,blanco
P7,768,XI,blanco
P8,721,XI,amarillo
P9,705,XI,amarillo
P10,680,XI,amarillo
P11,194,IV,rojo
P12,227,IV,rojo
P13,168,XI,verde
P14,173,XI,verde
P15,164,XI,verde
P16,170,XI,verde
P17,83,XI,azul
P18,84,XI,azul
P19,85,XI,azul
P20,782,XI,amarillo
P21,375,IV,amarillo
P22,334,IV,amarillo
P23,714,XI,amarillo
P24,593,IV,amarillo
P25,576,IX,amarillo
P26,583,IX,amarillo
P27,471,IX,blanco
P28,484,IX,blanco
P29,442,IV,amarillo
P30,448,IV,amarillo
P31,573,IX,amarillo
P32a,9,I,azul
P32b,68,I,naranja
P33,72,I,naranja
P34,86,I,amarillo
P35,96,I,blanco
P36,10,I,azul
P37,82,I,amarillo
P38,52,I,rojo
P39,46,I,rojo
P40,6,I,verde
P41,73,I,naranja
P42,7,I,azul
P43,122,I,amarillo
P44,64,I,amarillo
P45,7,I,verde
P46,9,I,azul
P47,9,I,azul
P48,9,I,azul
P49,81,I,rojo
P50,71,I,naranja
P51,439,IV,blanco
P52,421,IV,blanco
P53,279,XI,rojo
P54,121,IV,rojo
P55,146,XI,rojo
P56,347,IV,blanco
P57,218,IV,rojo
P58,432,IV,blanco
P59,122,IV,rojo
P60,68,IV,rojo
P61,207,IV,amarillo
P62,280,IV,amarillo
P63,121,IV,verde
P64,54,IV,verde
P65,51,IV,verde
P66,89,IV,azul
P67,95,IV,azul
P68,36,IV,cafe
P69,139,IV,lila
P70,80,IV,naranja
P71,84,IV,naranja
P72,93,IV,naranja
P73,614,IX,blanco
P74,169,IX,rojo
P75,138,IX,rojo
P76,433,IX,amarillo
P77,391,IX,amarillo
P78,97,IX,verde
P79,51,IX,verde
P80,51,IX,verde
P81,92,IX,azul
P82,98,IX,azul
P83,55,IX,cafe
P84,177,IX,lila
P85,118,IX,naranja
P86,124,IX,naranja
P87,131,IX,naranja
P88,773,XI,blanco
P89,183,XI,rojo
P90,162,XI,rojo
P91,516,XI,amarillo
P92,522,XI,amarillo
P93,85,XI,verde
P94,51,XI,verde
P95,51,XI,verde
P96,95,XI,azul
P97,102,XI,azul
P98,68,XI,cafe
P99,188,XI,lila
P100,143,XI,naranja
P101,146,XI,naranja
P102,173,XI,naranja
P103,763,XI,blanco
P104,173,XI,rojo
P105,164,XI,rojo
P106,493,XI,amarillo
P107,478,XI,amarillo
P108,96,XI,verde
P109,51,XI,verde
P110,51,XI,verde
P111,93,XI,azul
P112,101,XI,azul
P113,60,XI,cafe
P114,202,XI,lila
P115,147,XI,naranja
P116,158,XI,naranja
P117,154,XI,naranja
P118,508,IX,blanco
P119,138,IX,rojo
P120,110,IX,rojo
P121,320,IX,amarillo
P122,352,IX,amarillo
P123,115,IX,verde
P124,51,IX,verde
P125,51,IX,verde
P126,91,IX,azul
P127,97,IX,azul
P128,38,IX,cafe
P129,157,IX,lila
P130,98,IX,naranja
P131,102,IX,naranja
P132,117,IX,naranja
