patron,valor_certificado,tipo,color,codigo,origen,K,sesiones,x,sigma_x,x_fabrica_invertida,x_esperada,banda_x,R_fabrica,error_fabrica_pct,R_acta,error_acta_pct,R_propuesta,error_propuesta_pct
P1,762,XI,blanco,1,medido,2,10:33+mañana,3013.9,46.9,2865.0,,,778,2.1,737,-3.3,737,-3.3
P2,414,IV,blanco,1,medido,2,10:33+mañana,2036.3,31.7,1451.2,,,599,44.7,445,7.5,445,7.5
P3,378,IV,blanco,1,medido,2,10:33+mañana,1666.9,26.0,1355.6,,,489,29.4,335,-11.4,335,-11.4
P4,828,XI,blanco,1,medido,7,10:33+12:00+mañana,3294.0,27.4,,,,799,-3.5,820,-1.0,820,-1.0
P5,740,XI,amarillo,2,medido,5,10:33+12:20+mañana,2495.9,24.6,2223.1,,,804,8.6,705,-4.7,705,-4.7
P6,772,XI,blanco,1,medido,2,10:33+mañana,3141.5,48.9,2950.9,,,789,2.2,775,0.4,775,0.4
P7,768,XI,blanco,1,medido,3,10:33+mañana,3195.0,40.6,2915.2,,,793,3.3,791,3.0,791,3.0
P8,721,XI,amarillo,2,medido,2,10:33+mañana,2525.2,39.3,2161.9,,,809,12.2,716,-0.7,716,-0.7
P9,705,XI,amarillo,2,medido,2,10:33+mañana,2518.6,39.3,2113.5,,,808,14.6,714,1.3,714,1.3
P10,680,XI,amarillo,2,medido,2,10:33+mañana,2483.0,39.1,2042.6,,,802,17.9,700,2.9,700,2.9
P11,194,IV,rojo,4,medido,1,10:33,1722.9,37.9,1173.6,,,238,22.7,238,22.7,238,22.7
P12,227,IV,rojo,4,medido,1,10:33,1761.9,38.9,1568.0,,,242,6.6,242,6.6,242,6.6
P13,168,XI,verde,3,medido,1,10:33,830.9,18.3,953.1,,,137,-18.5,137,-18.5,137,-18.5
P14,173,XI,verde,3,medido,1,10:33,849.1,18.7,977.2,,,142,-17.9,142,-17.9,142,-17.9
P15,164,XI,verde,3,medido,1,10:33,843.2,18.6,935.0,,,140,-14.6,140,-14.6,140,-14.6
P16,170,XI,verde,3,medido,1,10:33,846.7,18.7,962.6,,,141,-17.1,141,-17.1,141,-17.1
P17,83,XI,azul,5,medido,1,10:33,828.4,18.3,1145.8,,,37,-55.4,37,-55.4,37,-55.4
P18,84,XI,azul,5,medido,1,10:33,813.4,18.0,1152.0,,,35,-58.3,35,-58.3,35,-58.3
P19,85,XI,azul,5,medido,1,10:33,823.6,18.2,1158.1,,,37,-56.5,37,-56.5,37,-56.5
P20,782,XI,amarillo,2,medido,3,10:33+mañana,2796.6,35.5,2382.6,,,829,6.0,815,4.2,815,4.2
P21,375,IV,amarillo,2,medido,3,10:33+mañana,1557.8,19.8,1354.6,,,472,25.9,362,-3.5,362,-3.5
P22,334,IV,amarillo,2,medido,7,10:33+12:00+mañana,1432.0,11.9,1270.6,,,412,23.4,316,-5.4,316,-5.4
P23,714,XI,amarillo,2,medido,3,10:33+mañana,2738.5,34.8,2140.4,,,829,16.1,794,11.2,794,11.2
P24,593,IV,amarillo,2,medido,2,10:33+mañana,2026.0,31.6,1823.5,,,673,13.5,533,-10.1,533,-10.1
P25,576,IX,amarillo,2,medido,2,10:33+mañana,2179.3,33.9,1784.0,,,726,26.0,589,2.3,589,2.3
P26,583,IX,amarillo,2,medido,2,10:33+mañana,2178.0,33.9,1800.2,,,726,24.5,589,1.0,589,1.0
P27,471,IX,blanco,1,medido,1,10:33,2111.1,46.5,1611.9,,,619,31.4,467,-0.8,467,-0.8
P28,484,IX,blanco,1,medido,7,10:33+12:00+12:20,2232.6,18.6,1650.5,,,649,34.1,504,4.1,504,4.1
P29,442,IV,amarillo,2,medido,2,10:33+mañana,1700.1,26.5,1492.9,,,538,21.7,414,-6.3,414,-6.3
P30,448,IV,amarillo,2,medido,2,10:33+mañana,1659.1,25.8,1505.5,,,520,16.1,399,-10.9,399,-10.9
