orden,sesion,bloque,paso,patron,color,tipo,valor_certificado,codigo_equipo,uso,K,M,asentamiento,remedida_de_codigo,x_esperada,origen_x,nota
1,1,INICIO,CALENTAMIENTO,,,,,,,,,,,,,10 min encendido antes de la primera serie (RF-CAL-01)
2,1,INICIO,BATERIA,,,,,9,CONTROL,,,,,,,orden 9: tension y nivel; aviso si baja (RF-CAL-41)
3,1,INICIO,OSCURO,OSCURO,,,0,e,CONTROL,5,4,1,,565,medida,superficie negra mate; ancla = media de OSCURO inicio y fin de la sesion (P10-C3)
4,1,A5-INICIO,A5,P22,amarillo,IV,334,e,CONTROL,5,4,1,,1497.0,medida,puente y s_rep (P9-A5); no entra en el ajuste
5,1,A5-INICIO,A5,P28,blanco,IX,484,e,CONTROL,5,4,1,,2277.9,medida,puente y s_rep (P9-A5); no entra en el ajuste
6,1,A5-INICIO,A5,P4,blanco,XI,828,e,CONTROL,5,4,1,,3315.8,medida,puente y s_rep (P9-A5); no entra en el ajuste
7,1,COLOR:blanco,PATRON,P56,blanco,IV,347,1,AJUSTE,3,4,1,,1717,estimada: recta por el oscuro,
8,1,COLOR:blanco,PATRON,P3,blanco,IV,378,1,AJUSTE,3,4,1,,1674.0,medida,P2 y P3 se contradicen entre si: leer etiqueta
9,1,COLOR:blanco,PATRON,P2,blanco,IV,414,1,AJUSTE,3,4,1,,2058.6,medida,P2 y P3 se contradicen entre si: leer etiqueta
10,1,COLOR:blanco,PATRON,P52,blanco,IV,421,1,AJUSTE,3,4,1,,1962,estimada: recta por el oscuro,
11,1,COLOR:blanco,PATRON,P58,blanco,IV,432,1,AJUSTE,3,4,1,,1999,estimada: recta por el oscuro,
12,1,COLOR:blanco,PATRON,P51,blanco,IV,439,1,AJUSTE,3,4,1,,2022,estimada: recta por el oscuro,
13,1,COLOR:blanco,PATRON,P27,blanco,IX,471,1,AJUSTE,3,4,1,,2111.1,medida,
14,1,COLOR:blanco,PATRON,P28,blanco,IX,484,1,RE-MEDIDA,5,4,1,1,2277.9,medida,
15,1,COLOR:blanco,PATRON,P118,blanco,IX,508,1,AJUSTE,3,4,1,,2251,estimada: recta por el oscuro,
16,1,COLOR:blanco,PATRON,P73,blanco,IX,614,1,AJUSTE,3,4,1,,2603,estimada: recta por el oscuro,
17,1,COLOR:blanco,PATRON,P1,blanco,XI,762,1,AJUSTE,3,4,1,,2960.9,medida,
18,1,COLOR:blanco,PATRON,P103,blanco,XI,763,1,AJUSTE,3,4,1,,3097,estimada: recta por el oscuro,
19,1,COLOR:blanco,PATRON,P7,blanco,XI,768,1,AJUSTE,3,4,1,,3122.4,medida,
20,1,COLOR:blanco,PATRON,P6,blanco,XI,772,1,AJUSTE,3,4,1,,3168.4,medida,
21,1,COLOR:blanco,PATRON,P88,blanco,XI,773,1,AJUSTE,3,4,1,,3130,estimada: recta por el oscuro,
22,1,COLOR:blanco,PATRON,P4,blanco,XI,828,1,AJUSTE,3,4,1,,3315.8,medida,
23,1,COLOR:blanco,BATERIA,,,,,9,CONTROL,,,,,,,control al cambiar de grupo
24,1,COLOR:blanco-I,PATRON,P35,blanco,I,96,7,VERIFICACION,3,4,1,,1114.7,medida,
25,1,COLOR:blanco,BATERIA,,,,,9,CONTROL,,,,,,,control al cambiar de grupo
26,1,COLOR:amarillo,PATRON,P61,amarillo,IV,207,2,AJUSTE,3,4,1,,1132,estimada: recta por el oscuro,
27,1,COLOR:amarillo,PATRON,P62,amarillo,IV,280,2,AJUSTE,3,4,1,,1331,estimada: recta por el oscuro,
28,1,COLOR:amarillo,PATRON,P22,amarillo,IV,334,2,AJUSTE,3,4,1,,1497.0,medida,"FUERA en la A5 del 19-sep (-5,6 %)"
29,1,COLOR:amarillo,PATRON,P21,amarillo,IV,375,2,AJUSTE,3,4,1,,1562.4,medida,
30,1,COLOR:amarillo,PATRON,P29,amarillo,IV,442,2,AJUSTE,3,4,1,,1677.0,medida,
31,1,COLOR:amarillo,PATRON,P30,amarillo,IV,448,2,AJUSTE,3,4,1,,1654.2,medida,
32,1,COLOR:amarillo,PATRON,P24,amarillo,IV,593,2,AJUSTE,3,4,1,,1982.7,medida,identidad sin confirmar (C-40)
33,1,COLOR:amarillo,PATRON,P121,amarillo,IX,320,2,AJUSTE,3,4,1,,1441,estimada: recta por el oscuro,
34,1,COLOR:amarillo,PATRON,P122,amarillo,IX,352,2,AJUSTE,3,4,1,,1528,estimada: recta por el oscuro,
35,1,COLOR:amarillo,PATRON,P77,amarillo,IX,391,2,AJUSTE,3,4,1,,1635,estimada: recta por el oscuro,
36,1,COLOR:amarillo,PATRON,P76,amarillo,IX,433,2,AJUSTE,3,4,1,,1750,estimada: recta por el oscuro,
37,1,COLOR:amarillo,PATRON,P31,amarillo,IX,573,2,AJUSTE,3,4,1,,2085.8,medida,
38,1,COLOR:amarillo,PATRON,P25,amarillo,IX,576,2,RE-MEDIDA,5,4,1,2,2157.4,medida,
39,1,COLOR:amarillo,PATRON,P26,amarillo,IX,583,2,AJUSTE,3,4,1,,2208.8,medida,
40,1,COLOR:amarillo,PATRON,P107,amarillo,XI,478,2,AJUSTE,3,4,1,,1873,estimada: recta por el oscuro,
41,1,COLOR:amarillo,PATRON,P106,amarillo,XI,493,2,AJUSTE,3,4,1,,1914,estimada: recta por el oscuro,
42,1,COLOR:amarillo,PATRON,P91,amarillo,XI,516,2,AJUSTE,3,4,1,,1977,estimada: recta por el oscuro,
43,1,COLOR:amarillo,PATRON,P92,amarillo,XI,522,2,AJUSTE,3,4,1,,1994,estimada: recta por el oscuro,
44,1,COLOR:amarillo,PATRON,P10,amarillo,XI,680,2,AJUSTE,3,4,1,,2504.3,medida,
45,1,COLOR:amarillo,PATRON,P9,amarillo,XI,705,2,AJUSTE,3,4,1,,2483.9,medida,
46,1,COLOR:amarillo,PATRON,P23,amarillo,XI,714,2,AJUSTE,3,4,1,,2735.4,medida,P23 lee mas que P5 con menos certificado (C-39)
47,1,COLOR:amarillo,PATRON,P8,amarillo,XI,721,2,AJUSTE,3,4,1,,2532.9,medida,
