# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
SERIE,S001,"2026-09-19T14:13:34-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,OSCURO,0,e
DISPARO,S001,1,"2026-09-19T14:13:34-0500","::560",560,1
DISPARO,S001,2,"2026-09-19T14:13:35-0500","::563",563,1
DISPARO,S001,3,"2026-09-19T14:13:37-0500","::567",567,1
DISPARO,S001,4,"2026-09-19T14:13:39-0500","::564",564,1
DISPARO,S001,5,"2026-09-19T14:13:48-0500","::570",570,2
DISPARO,S001,6,"2026-09-19T14:13:50-0500","::567",567,2
DISPARO,S001,7,"2026-09-19T14:13:51-0500","::565",565,2
DISPARO,S001,8,"2026-09-19T14:13:53-0500","::570",570,2
DISPARO,S001,9,"2026-09-19T14:14:05-0500","::569",569,3
DISPARO,S001,10,"2026-09-19T14:14:06-0500","::565",565,3
DISPARO,S001,11,"2026-09-19T14:14:08-0500","::559",559,3
DISPARO,S001,12,"2026-09-19T14:14:10-0500","::564",564,3
DISPARO,S001,13,"2026-09-19T14:14:15-0500","::572",572,4
DISPARO,S001,14,"2026-09-19T14:14:17-0500","::562",562,4
DISPARO,S001,15,"2026-09-19T14:14:18-0500","::566",566,4
DISPARO,S001,16,"2026-09-19T14:14:20-0500","::565",565,4
DISPARO,S001,17,"2026-09-19T14:14:27-0500","::567",567,5
DISPARO,S001,18,"2026-09-19T14:14:28-0500","::574",574,5
DISPARO,S001,19,"2026-09-19T14:14:30-0500","::564",564,5
DISPARO,S001,20,"2026-09-19T14:14:31-0500","::568",568,5
VEREDICTO,S001,OK,1,"banco paso 3, código e, uso CONTROL"
ELIGE,S001
PASO,3,HECHO,S001,"2026-09-19T14:14:31-0500",OK
SERIE,S002,"2026-09-19T14:14:56-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,0,e
DISPARO,S002,1,"2026-09-19T14:14:56-0500","::1387",1387,1
DISPARO,S002,2,"2026-09-19T14:14:58-0500","::1404",1404,1
DISPARO,S002,3,"2026-09-19T14:14:59-0500","::1381",1381,1
DISPARO,S002,4,"2026-09-19T14:15:01-0500","::1395",1395,1
DISPARO,S002,5,"2026-09-19T14:15:11-0500","::1408",1408,2
DISPARO,S002,6,"2026-09-19T14:15:13-0500","::1407",1407,2
DISPARO,S002,7,"2026-09-19T14:15:14-0500","::1406",1406,2
DISPARO,S002,8,"2026-09-19T14:15:16-0500","::1408",1408,2
