fecha_hora,serie,mac,firmware,patron,valor_certificado,tipo_lamina,color,codigo,respuesta_bruta,x,resolucion_x,metodo,nota
2026-09-19T08:59:24-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P5,740,XI,amarillo,e,"::2503",2503,0,e directa,
2026-09-19T08:59:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P5,740,XI,amarillo,e,"::2521",2521,0,e directa,
2026-09-19T08:59:28-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P5,740,XI,amarillo,e,"::2531",2531,0,e directa,
2026-09-19T09:02:18-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P8,721,XI,amarillo,e,"::2498",2498,0,e directa,
2026-09-19T09:02:20-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P8,721,XI,amarillo,e,"::2521",2521,0,e directa,
2026-09-19T09:02:22-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P8,721,XI,amarillo,e,"::2514",2514,0,e directa,
2026-09-19T09:02:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1559",1559,0,e directa,
2026-09-19T09:02:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1557",1557,0,e directa,
2026-09-19T09:02:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1561",1561,0,e directa,
2026-09-19T09:03:21-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P31,573,IX,amarillo,e,"::2084",2084,0,e directa,
2026-09-19T09:03:22-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P31,573,IX,amarillo,e,"::2094",2094,0,e directa,
2026-09-19T09:03:24-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P31,573,IX,amarillo,e,"::2099",2099,0,e directa,
2026-09-19T09:03:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P9,705,XI,amarillo,e,"::2532",2532,0,e directa,
2026-09-19T09:03:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P9,705,XI,amarillo,e,"::2549",2549,0,e directa,
2026-09-19T09:03:54-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P9,705,XI,amarillo,e,"::2563",2563,0,e directa,
2026-09-19T09:04:12-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2048",2048,0,e directa,
2026-09-19T09:04:14-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2071",2071,0,e directa,
2026-09-19T09:04:15-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2076",2076,0,e directa,
2026-09-19T09:04:43-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2439",2439,0,e directa,
2026-09-19T09:04:45-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2438",2438,0,e directa,
2026-09-19T09:04:46-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P24,593,IV,amarillo,e,"::2453",2453,0,e directa,
2026-09-19T09:05:04-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P10,680,XI,amarillo,e,"::2446",2446,0,e directa,
2026-09-19T09:05:05-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P10,680,XI,amarillo,e,"::2450",2450,0,e directa,
2026-09-19T09:05:07-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P10,680,XI,amarillo,e,"::2473",2473,0,e directa,
