fecha_hora,serie,mac,firmware,patron,valor_certificado,tipo_lamina,color,codigo,respuesta_bruta,x,resolucion_x,metodo,nota
2026-09-19T09:12:13-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1461",1461,0,e directa,
2026-09-19T09:12:15-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1465",1465,0,e directa,
2026-09-19T09:12:16-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1466",1466,0,e directa,
2026-09-19T09:12:18-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1466",1466,0,e directa,
2026-09-19T09:12:20-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1472",1472,0,e directa,
2026-09-19T09:12:21-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1468",1468,0,e directa,
2026-09-19T09:12:23-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1470",1470,0,e directa,
2026-09-19T09:12:24-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1472",1472,0,e directa,
2026-09-19T09:12:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P22,334,IV,amarillo,e,"::1478",1478,0,e directa,
2026-09-19T09:13:14-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1540",1540,0,e directa,
2026-09-19T09:13:16-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1546",1546,0,e directa,
2026-09-19T09:13:18-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1552",1552,0,e directa,
2026-09-19T09:13:19-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1550",1550,0,e directa,
2026-09-19T09:13:21-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1552",1552,0,e directa,
2026-09-19T09:13:22-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1557",1557,0,e directa,
2026-09-19T09:13:24-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1553",1553,0,e directa,
2026-09-19T09:13:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1552",1552,0,e directa,
2026-09-19T09:13:27-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P21,375,IV,amarillo,e,"::1554",1554,0,e directa,
2026-09-19T09:13:49-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2193",2193,0,e directa,
2026-09-19T09:13:51-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2195",2195,0,e directa,
2026-09-19T09:13:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2196",2196,0,e directa,
2026-09-19T09:13:54-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2204",2204,0,e directa,
2026-09-19T09:13:56-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2201",2201,0,e directa,
2026-09-19T09:13:57-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2206",2206,0,e directa,
2026-09-19T09:13:59-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2203",2203,0,e directa,
2026-09-19T09:14:00-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2202",2202,0,e directa,
2026-09-19T09:14:02-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P25,576,IX,amarillo,e,"::2209",2209,0,e directa,
2026-09-19T09:14:27-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2143",2143,0,e directa,
2026-09-19T09:14:29-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2140",2140,0,e directa,
2026-09-19T09:14:30-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2146",2146,0,e directa,
2026-09-19T09:14:32-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2148",2148,0,e directa,
2026-09-19T09:14:33-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2156",2156,0,e directa,
2026-09-19T09:14:35-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2150",2150,0,e directa,
2026-09-19T09:14:37-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2151",2151,0,e directa,
2026-09-19T09:14:38-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2150",2150,0,e directa,
2026-09-19T09:14:40-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P26,583,IX,amarillo,e,"::2150",2150,0,e directa,
2026-09-19T09:14:57-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2701",2701,0,e directa,
2026-09-19T09:14:59-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2719",2719,0,e directa,
2026-09-19T09:15:00-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2716",2716,0,e directa,
2026-09-19T09:15:02-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2719",2719,0,e directa,
2026-09-19T09:15:04-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2728",2728,0,e directa,
2026-09-19T09:15:05-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2732",2732,0,e directa,
2026-09-19T09:15:07-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2721",2721,0,e directa,
2026-09-19T09:15:08-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2722",2722,0,e directa,
2026-09-19T09:15:10-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2730",2730,0,e directa,
2026-09-19T09:15:47-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2777",2777,0,e directa,
2026-09-19T09:15:48-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2792",2792,0,e directa,
2026-09-19T09:15:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2793",2793,0,e directa,
2026-09-19T09:15:51-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2794",2794,0,e directa,
2026-09-19T09:15:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2793",2793,0,e directa,
2026-09-19T09:15:55-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2807",2807,0,e directa,
2026-09-19T09:15:56-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2805",2805,0,e directa,
2026-09-19T09:15:58-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2802",2802,0,e directa,
2026-09-19T09:15:59-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2799",2799,0,e directa,
2026-09-19T09:16:45-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3050",3050,0,e directa,
2026-09-19T09:16:47-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3069",3069,0,e directa,
2026-09-19T09:16:49-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3072",3072,0,e directa,
2026-09-19T09:16:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3069",3069,0,e directa,
2026-09-19T09:16:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3067",3067,0,e directa,
2026-09-19T09:16:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3071",3071,0,e directa,
2026-09-19T09:16:55-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3079",3079,0,e directa,
2026-09-19T09:16:57-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3064",3064,0,e directa,
2026-09-19T09:16:58-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P1,762,XI,blanco,e,"::3077",3077,0,e directa,
2026-09-19T09:17:21-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::1999",1999,0,e directa,
2026-09-19T09:17:23-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2017",2017,0,e directa,
2026-09-19T09:17:25-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2004",2004,0,e directa,
2026-09-19T09:17:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2014",2014,0,e directa,
